link,link-href,article
"Delhi civic elections: Exit polls predict sweep for BJP, AAP staring at rout","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/exit-polls-predict-sweep-for-bjp-in-delhi-civic-elections-aap-staring-at-rout/articleshow/58329548.cms","NEW DELHI: The
  BJP could be headed for a landslide victory in the Delhi municipal polls+
  with two exit polls predicting the party finishing way ahead of the AAP and the Congress with over 200 of the 270 wards where polling was held on Sunday.
  

  

  Going by the projected figures, the AAP could well be staring at a rout on its home turf, barely two years into its rise to power bagging a staggering 67 of the 70 Assembly seats, while the Congress' attempt to regain ground may come a cropper.
  

  

  According to the India Today-Axis exit poll, the BJP may bag anything between 202 and 220 seats, while the AAP and the Congress will score something around 23-35 and 19-31 respectively.
  

  United Bag UTB022 TTone Long Pkt Expandable Travel BagShopclues5 smart reasons to refinance your home loan.TomorrowMakersRecommended By Colombia

  
    As it happened:
    Delhi Civic Polls 2017
  
  

  

  The CVoter-ABP exit poll claimed the BJP was likely to sweep Delhi with 218 seats, limiting the AAP and the Congress to 24 and 22 seats respectively.
  

  

  Polling was held in 270 wards of the three municipal corporations. The election to two wards has been postponed due to the death of candidates.
  

  

  State Election Commissioner, SK Srivastava said around
  54% voting was recorded in the polls+
  .
  

  
    Read this story in Bengali"
"Candidates' education could sway voters: HC","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/candidates-education-could-sway-voters-hc/articleshow/58337149.cms","NEW DELHI: A voter may be ""swayed"" by the level of education of a candidate and prefer to cast his vote in favour of someone with a higher qualification, Delhi high court said.
  

  

  The observation by the court came in its order dismissing a plea by former BJP MLA Karan Singh Tanwar seeking setting aside of AAP legislator ""commando"" Surender Singh's election on the ground that he admitted to have furnished incorrect details of his education in the nomination papers.
  

  

  While dismissing the application, Justice Hima Kohli kept pending the main election petition against Singh, saying that it shall have to go through the rigours of a full-fledged trial for a decision.
  

  

  Tanwar in his election petition challenged Singh's election on the grounds of non-declaration of government dues, non-furnishing of financial status and income tax returns, as well as incorrect disclosure of his educational qualification in his nomination papers.
  Aarohi Designer Gold Plated Australian Diamond Jewellery ComShopcluesProfitable option in Bangalore property marketProperty ShareRecommended By Colombia

  

  The AAP legislator had, in his nomination papers, filled that he graduated from Sikkim University when he had actually graduated from EIILM University in Sikkim. He had claimed that it was an inadvertent mistake.
  

  

  The court agreed with the AAP MLA's claim that the incorrect disclosure was not a deliberate attempt to influence voters.
  

  

  ""The said defect in the disclosure is not of such a substantial character that could have materially prejudiced the prospect of the election, for it to be termed as a corrupt practice within the meaning of the Representation of the People Act, resulting in rejection of the nomination of the respondent (Singh), it said.
  

  

  ""Resultantly, the application for setting aside the election of the respondent on the ground of his making a misrepresentation with respect to the University from where he had acquired his graduation degree in the declaration form and passing a judgement on admissions, is dismissed,"" it added."
"MCD polls 2017: Voter turnout likely to cross 54%","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/mcd-polls-2017-voter-turnout-likely-to-cross-54/articleshow/58329509.cms","NEW DELHI: Delhi voters began on a sluggish note on Sunday but did not disappoint at the end of the day as voter turnout in Delhi civic elections touched 52.66%. With the figure accounting for 229 out of the total 270 wards, the final voter turnout will increase.
  

  

  It will be interesting to see if the voter turnout crosses last time's tally of 54%. The turnout in 2007 Municipal polls was a mere 42.78%.
  

  Bonjour Mens Ankle Length Pack of 3 Pair Sports SocksShopcluesInnovate more on the Cloud that costs lessIBMRecommended By Colombia

  It was a poor start to polling on Sunday, a day that had been preceded by high-decibel campaigns by all three main contenders -- BJP, AAP and Congress. The voting percentage started picking up only after 2 pm. From a mere 10% in the first two hours, it touched 45% by 4 and the queues grew longer changing the impression that the Delhi voter had chosen to be indifferent and was therefore stay away from voting.
  

  

  The upscale and middle class localities saw low turnouts and reluctant citizens trickled in through the day and were seen sharing reflections of what they say as a tri-polar contest. The turnout was maximum in East, followed by North and then South. Clearly, the poor and low-income settlements came out to vote in larger numbers compared to the upper middle classes and those in upscale colonies.
  

  

  The Corporation wise data shows that the highest polling was registered in East at 54.88% (data for 53 out of 63 wards) followed by North where 53.13% votes were cast (91 wards out of 103) and South registered the lowest turnout at 49.85% (85 out of 104 wards).
  

  

  Officials at the State Election Commission said that these reports were being updated and the final tally was likely to cross last elections 54%. Updates are being taken for every two hours from all poll officials at the booths."
"MCD polls: Despite high volatge campaign, Delhi witnesses low voter turnout","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/mcd-polls-despite-high-volatge-campaign-delhi-witnesses-low-voter-turnout/articleshow/58327504.cms","NEW DELHI: The high powered campaigns of political parties seem to have failed to stir the voters of Delhi to step out in large numbers to cast their votes.
  

  

  Data updated till 2pm by the State Election Commission reflected that just 45, 23,153 voters, which is 33.94% of the total registered voters, who have come out to cast their votes so far. These figures pertain to 243 wards and updates of remaining 27 are under compilation.
  People can now melt 15kg off in 30 days!Manorama Blog1 easy trick to give you fair skin in 14 daysFit Mom DailyRecommended By Colombia

  

  Voting normally picks up in the evening as it is summer and a Sunday. Voting was rather dismal in the morning too when a mere 10.1% voted till 10.00 pm.
  

  

  In the last Municipal elections in 2012 the poll percentage was 54% and it was 42.78% in 2007.
  

  

  The Corporation wise data showed that the highest polling was registered in East at 39.79% followed by North where 34.57% votes were cast and South registered a low turnout of 32.23%.
  

  

  Officials at the State election Commission said that these reports were being updated and figures for some wards are still under compilation, so these trends will change through the voting process. Updates are being taken for every two hours from all poll officials at the booths."
"Expelled from Congress, Barkha Singh joins BJP","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/expelled-from-congress-barkha-singh-joins-bjp/articleshow/58314357.cms","NEW DELHI: A day after she was expelled from the Congress, Barkha Shukla Singh today joined the BJP and lauded Prime Minister Narendra Modi's policies.
  

  

  She said her decision was not aimed at gaining any position in the party.
  

  

  ""I have joined the BJP neither to fight elections nor am I aiming for any position, but to work hard for assignments I will be given,"" Singh told reporters.
  

  

  She praised Modi's policies and the changes he has made over the past three years.
  

  

  ""I wrote to Modi three years ago urging him to take up the triple talaq issue for protection of women. The way he has responded to it has satisfied me,"" she said.
  

  

  Singh, who was Congress' Delhi women wing chief, was expelled by the party for six years after she attacked its vice president Rahul Gandhi and Delhi unit chief Ajay Maken.
  A Family battles to save their 9-yr-old Son!MilaapFair Skin is Only Minutes Away (Try This Amazing Method)Fit Mom DailyRecommended By Colombia

  

  The disciplinary committee of Congress' Delhi unit removed Singh for indulging in ""anti-party activities"".
  

  

  The development came on the eve of civic polls in the national capital.
  

  

  Union Youth Affairs and Sports Minister Vijay Goel who was also present on the occasion said Singh's entry has strengthened the BJP.
  

  

  ""Congress leadership at both the national level and in Delhi is neither listening to its party members nor is is being able to satisfy its leaders,"" Goel said."
"BJP win due to EVM 'wave': AAP","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/bjp-win-due-to-evm-wave-aap/articleshow/58374187.cms","NEW DELHI: The AAP on Wednesday termed the BJP's victory in the Delhi municipal polls as a result of alleged tampering of EVMs.
  

  

  Aam Aadmi Party leader Gopal Rai, speaking to the media after the counting trends showed the BJP making a clean sweep in the civic polls, said: ""This is not a Modi wave, this is an EVM wave. This is the same wave that they (BJP) used in the Uttar Pradesh, Uttarakhand, and Punjab polls.""
  

  Top CommentGrapes are sourRahul H

  The AAP has alleged tampering of the Electronic Voting Machines and had demanded a paper trail proof of the voting, which was turned down by the courts."
"Caste links make Bakhtawarpur a vote topper","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/caste-links-make-bakhtawarpur-a-vote-topper/articleshow/58352931.cms","NEW DELHI: Poised on the north-western edge of Delhi, Bakhtawarpur ward is carved out of a set of well-heeled villages that largely live off agriculture. Among other things, the farmers here also grow and sell marigold flowers that contribute substantially to their coffers. The roads are neatly laid out and the sight of a Land Rover or an Audi is more routine than rare. A profusion of swank houses offers further evidence of Bakhtawarpur's prosperity.
  

  

  But on Monday, the happiness and pride on the faces of most villagers in Bakhtawarpur was for an entirely different reason. For the second time running, this ward in Narela assembly segment recorded the maximum turnout in the civic polls. More than 69% voters turned out to cast their ballot; a good 15% higher than the overall average of 53.58%.
  

  

  ""Even the election commissioner praised us yesterday. Voting has now become a part of our culture,"" says Om Prakash, 51, a farmer, displaying his ink-marked finger. It becomes clear after TOI spoke with several locals that caste linkages play a key role in the high turnout in this ward comprising over a dozen villages with 55,000 voters. Bakhtawarpur is the big gest village in the ward and located at the centre. Bhule Ram Chauhan, 70, an ex-serviceman and former pradhan, says that enthusiasm and interest for elections has always been a unique feature of the area.
  

  

  ""Even when I contested in 1983, a huge percentage of peo 1983, a huge percentage of people voted. I remember even a pregnant lady was carried to the booth on a cot. It is largely because of the community feeling here. The village has a large number of Chauhans and all families are like relatives in an extended family .And if you don't vote, it becomes a matter of ulahana (grouse),"" he says.
  

  

  Locals estimate that Chauhans make at least 50% of the population. Jats are second in number. Much of the voting happens on caste lines. The previous two councillors from the Bakhtawarpur seat, Rita and Sharad, were Chauhans too. Even this year, all major parties -AAP , Congress and BJP -fielded Chauhans as candidates. Says BJP candidate Sunit Chauhan, ""My ri vals from AAP and Congress are close relatives. Brotherhood has kept Bakhtawarpur a notch above the other areas.""
  Earton WomenGirl Tan Sports Running ShoesShopcluesProfitable option in Bangalore property marketProperty ShareRecommended By Colombia

  

  Shahid Saifi, 48, a resident from neighbouring village Akbarpur Majra, says intercaste rivalry is also a strong factor in every election. ""The alluvial Yamuna khadar region has a large number of Chauhans and Jats. Both communities want their candi date to win and cajole a large number of people to turn out.Political parties here are irrelevant. Caste is the defining factor. The last councillor belonged to the BSP even though party doesn't have much pres ence in this ward. He was a Chauhan too,"" he says.
  

  

  Largely an agricultural village, Bakhtawarpur has lush green fields. Despite being located in a distant corner of the capital near the Delhi UP-Haryana border, the basic civic infrastructure seems to be in place. Vehicle ownership too is high. Electrician Rajesh Kumar explains how vehicles were roped in to ferry people to the booths.
  Latest CommentWe are urgently in need of kidney donors in Kokilaben Hospital India for 
the sum of $450,000,00,Call or What-sup  for more 
WhatsApp 917418483326
Help Line: 917418483326Kokilaben Ambani Hospital

  

  ""People in posh urban areas don't even know their neighbours. Here even the marriage invitation goes out to the entire village. The whole family goes out to vote together making the turnout really high,"" he says.
  

  

  Bakhtawarpur, though, continues to have some basic problems. One of them is the absence of a proper healthcare facility . The drainage system too is inadequate. ""The MCD dispensary is poorly equipped and the nearest hospital is 10km away at Narela.We need a good healthcare facility or at least a polyclinic in case of an emergency ,"" says Karan Singh, who runs a shop that sells agricultural equipment."
"MCD polls: Officials to get memos for delay in sending data","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/mcd-polls-officials-to-get-memos-for-delay-in-sending-data/articleshow/58328656.cms","NEW DELHI: Irked over the delay in sending polling percentages by the officials concerned, the State Election Commission (SEC) has decided to issue memos to them.
  

  

  SEC officials had a hard time compiling the polling percentages at regular intervals as there was a delay in receiving the data from the polling centres.
  

  

  ""There was a delay on the part of the officials concerned in sending the polling percentage data to the control room set up at the SEC headquarters. It has been decided to issue memos to those responsible for it,"" said an official.
  

  

  SEC officials suspect that poor Internet connectivity at the polling centres led to the delay in transmitting the data to the control room.
  

  

  ""There could have been issues with the Internet at the returning officers' end. Such a problem had never surfaced before,"" said an official.
  

  

  Voting to elect the municipal councillors commenced at over 13,000 polling stations across the national capital at 8 AM amid tight security arrangements.
  Burn Up To 20 Kilos With This Easy MethodNutraVigour USA LLCDelight customers with a cognitive journeyIBMRecommended By Colombia

  

  Of the 13,022 polling stations, the police had declared 3,284 as 'sensitive' and 1,464 as 'hyper-sensitive'.
  

  

  For the first time, the 'None Of The Above' (NOTA) option was made available in the MCD polls.
  

  

  A total of 1,32,10,206 voters, including over 1.1 lakh first-time voters, were entitled to exercise their franchise to elect councillors for the 270 wards under the three civic bodies -- NDMC (103 wards), SDMC (104) and EDMC (63).
  

  

  Voting officially ended at 5.30 PM, although those who had queued up in front of the polling booths by that time were allowed to cast their votes."
"Once again, affluent colonies lag behind as backward areas surge","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/once-again-affluent-colonies-lag-behind-as-backward-areas-surge/articleshow/58333579.cms","NEW DELHI: Like always, rural and backward areas of the city registered higher voter turnout than affluent localities in Sunday's
  civic polls in Delhi+
  .
  

  

  In most upscale colonies, the turnout was very low till 11am. For instance, in some polling stations in Mayur Vihar phase-I, the turnout was 10-12% whereas it was close to 25% in the neighbouring Chilla village by noon.
  

  

  Santosh, a resident of Trilokpuri, said it was a much-needed election as there had been no development in the area for several years. ""Sanitation is a serious problem here. People want change. We want someone who can address our problem,"" she said.
  

  

  In upscale south Delhi colonies like Greater Kailash I and II, Vasant Kunj, Panchsheel Enclave, Safdarjung Enclave and Vasant Vihar, residents trickled in slowly through the day. In a stark contrast to this, Govindpuri, a slum cluster near GK, had hundreds of people waiting outside the polling station at Sant Nirankari school to get their voter slips. ""It is just 11am and we have already seen 20% of polling,"" an election official said.
  

  

  People in JJ clusters, slums and unauthorised colonies complained that the problems in their areas were very serious and councillors had done little to address them in the past few years. ""Maximum campaigning happens in our areas, but when it comes to work nobody listens to us,"" said Manoj Vajpayee, a resident of Ramesh Park in east Delhi.
  

  Mens White Lace-up Cricket ShoesShopcluesProtected against death,disease & disability?MAX LIFE INSURANCERecommended By Colombia

  Ram Kishan, a resident of Govindpuri, has similar grievances. ""Only 10% of houses here have toilets. Women have to go to the nearby jungles to relieve themselves. We don't have regular supply of water. We need a strong councillor to address our problems. People in Greater Kailash and other posh areas can straightaway call the officers if they have slightest of discomfort. But no one will listen to us,"" said Ram Kishan.
  

  

  North Delhi areas like Civil Lines witnessed a poor voter turnout even till 3pm whereas in Burari and Mangolpuri, which have a high percentage of rural pockets and slums, people turned up in large numbers to vote for a ""change"". Voters said these areas were facing a number of civic problems and the elections were a good way to improve the condition and tell political parties that they can't run away from their responsibilities. ""The voter turnout has been very good despite the heat. Over 17% had cast their votes by 11am,"" said an official at a polling station in Burari.
  

  

  Areas like Khyala saw a high voter turnout while poll percentage was dismal in places like Rajouri Garden, Tagore Garden and Karol Bagh. ""Sanitation has always been a problem and we want to vote for candidate who looks promising and can solve the issues of our ward,"" said Raju, a resident of Khyala.
  

  

  In many upscale colonies, people didn't come out to cast vote as they believed this election results won't affect them. Sushila Rawat came to vote around 2pm in Dhaula Kuan. An MNC employee, Rawat blamed the heat for the below average turnout in the afternoon."
"Meetings and a game of cricket before MCD results","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/meetings-and-a-game-of-cricket-before-results/articleshow/58370137.cms","NEW DELHI: The day before declaration of municipal poll results started as usual for Delhi BJP president Manoj Tiwari, AAP national convener Arvind Kejriwal and Delhi Congress chief Ajay Maken. However, amid the excitement anxiety was writ large on the faces of AAP and Congress given the fact that exit polls have given a clean sweep to BJP.
  

  

  Tiwari took the opportunity of the two-day gap between polling and counting to fly to Mumbai and shoot a movie. He returned on Tuesday morning to take stock of the preparations of the state unit for the counting day. He met party members at his North Avenue residence and then went to Parliament to attend a meeting of standing committee on shipping.
  

  

  A cricket enthusiast, Tiwari played the sport in the lawn of his residence in the evening to relax and prepare for the civic poll results that may shape his political career in the party.
  

  

  Ajay Maken spent the day conducting meetings. He met district presidents to get their feedback on the municipal elections. In the evening, he met Congress spokespersons and advised them to keep the party's position in the media strongly on Wednesday.
  

  

  The exit polls have not been favourable for Congress. Aspiring to make a comeback in the corporations, the party came up with a detailed manifesto and roped in senior party functionaries in campaigns. It fielded many new faces and gave an impressive representation to women.
  

  United Bag Travelon Spacious Small Travel Bag  - Large GreenShopcluesMonthly SIPs that can make you richFundsIndiaRecommended By Colombia

  Though the party had to fight defections, it always put up a strong face before the public. The results will show whether Congress maintains the growth in voting percentage it received during the Rajouri Garden bypoll or loses the momentum.
  

  

  Kejriwal met party functionaries at his residence to discuss the civic polls. He expressed apprehension that EVMs may spoil AAP's prospects and threatened to launch an agitation if the outcome of the polls was what the exit polls have suggested.
  

  Top Commentthat's the burial of peoples movement hijacked by this jokerKumar 

  On Tuesday morning, Kejriwal read a letter from 25 senior computer science academicians and technocrats addressed to chief election commissioner to conduct an EVM hackathon. He re-tweeted the letter shared by party colleague Ankit Lal.
  

  

  He also re-tweeted a video posted by Somnath Bharti claiming that four of seven fake voters were allowed to go by a policeman."
"BJP to sweep Delhi civic elections, predict 2 surveys","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/bjp-to-sweep-delhi-civic-elections-predict-2-surveys/articleshow/58307118.cms","NEW DELHI: Two opinion polls on the eve of the
  municipal polls+
  in Delhi have projected a
  sweep for the BJP+
  in all three corporations, with one giving the party that is now in office 195 out of the 272 seats and the other 179. The two polls placed AAP at a distant second at 55 and 45 seats respectively and the Congress even further back.
  

  

  While the poll done by VMR for Times Now did not give a break-up of its seat projection for the three corporations, its tally of 195 for the BJP clearly implies comfortable wins in all three. The CVoter poll done for ABP News forecast that the BJP would win 76 of the 104 seats in the North corporation, 60 of 104 in the South and 43 of 64 in the East.
  

  

  
    Might of crores versus spirit of ‘ordinary’: Who’ll win?Some municipal seats have gaping financial disparities. In Sadar Bazar, Mohammad Usman, the Congress nominee with assets of Rs 57 crore, is taking on Naveen Sharma, an independent with a less than Rs 35,000.
  
  Study engineering in a NAAC A graded univ.GLA UniversityTravel Makes You Richer. Get Travel Insured!Bajaj Allianz Travel InsuranceRecommended By Colombia

  

  AAP, this poll estimated, would win 13 seats in the North, 21 in the South and 11 in the East. The Times Now poll put the Congress tally for all three corporations combined at just 15, while the ABP News poll gave it 26 seats consisting of eight each in the North and East and 10 in the South.
  

  

  The ABP News poll gave the BJP a vote share of 41.9%, which would mean a near repeat of the 2014 Lok Sabha polls. For AAP, the projected 27.5% in this poll would mean a massive comedown from the nearly 55% it won in the 2015 assembly polls.
  

  

  Interestingly, both polls suggested that the decisive mandate for BJP would be despite a high level of dissatisfaction with the performance of the corporation in the last ten years when the party has been in office. The Times Now poll estimated that the satisfaction levels with the Delhi government are higher than with MCD.
  

  

  This seems to vindicate the BJP's strategy of fighting these elections primarily in the name of the prime minister and points to a failure by AAP and Congress to get voters focused on municipal issues and the perceived non-performance of the corporations."
"Good people who left AAP will return: Arvind Kejriwal","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/good-people-who-left-aap-will-return-arvind-kejriwal/articleshow/58317417.cms","NEW DELHI: Delhi Chief Minister Arvind Kejriwal on Saturday said he was confident that ""good people"" who left the AAP will return to its fold.
  

  

  ""I always regret when people leave,"" the Aam Aadmi Party leader told IANS.
  

  

  ""I have always said that I am always hopeful that good people who left us due to differences ... will return to our fold in the future.""
  

  

  Kejriwal declined to take any names, however, in the interview.
  

  

  Among those who left AAP are Yogendra Yadav and Prashant Bhushan whose Swaraj India is also fighting Sunday's municipal polls. A handful who quit AAP joined the Bharatiya Janata Party."
﻿link,link-href,article
"BJP gets ‘Lovely’ gift ahead of Delhi civic polls","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/bjp-gets-lovely-gift-ahead-of-polls/articleshow/58277665.cms","NEW DELHIi: In a major boost to BJP ahead of the municipal elections, former Delhi Congress chief Arvinder Singh Lovely joined the party on Tuesday. BJP claimed that the step confirmed that ""Congress is disintegrating"" in the city.
  

  

  After pledging his unconditional support to BJP in front of party president Amit Shah, Lovely said, ""I am pained and angry at the way I have been treated by the party (Congress) in which I worked for 31 years. I could not tolerate more humiliation.""
  

  

  Referring to the displeasure expressed by another former Congress minister, AK Walia, over ticket distribution, Lovely said, ""If senior functionaries like A K Walia can be sidelined, it is pointless to be here. I felt unwanted and unheard as I struggled to meet Congress vice-president Rahul Gandhi."" He addded that he wanted to convey his concerns regarding the way Delhi Pradesh Congress Committee was being run.
  

  

  On his choice of BJP, the former Gandhinagar MLA said, ""Both PM Narendra Modi and Shah work tirelessly day and night to deliver honest governance. I want to work for a party like this. I have come here at a time when there is no election, so I am not here for power.""
  United Bag Travelon Spacious Small Travel Bag  - Large GreenShopcluesEarn more on your savings with FundsIndia!FundsIndiaRecommended By Colombia

  

  Amit Malik, who was the president of Delhi Youth Congress, and around 200 workers also joined BJP along with Lovely. Another senior leader, three-time Kondli MLA Amrish Gautam, has recently joined BJP.
  

  

  Lovely's move exposes Congress' claim that it is regaining lost ground, said BJP sources. ""Ravan ki Lanka se Vibhishan nikal ke aaya hai,"" said Maheish Girri, east Delhi MP. ""He felt suffocated in Congress,"" said Girri. Delhi BJP chief Manoj Tiwari said, ""Lovely will help strengthen BJP's base in east Delhi areas"".
  

  

  Vinay Sahasrabuddhe, Rajya Sabha MP and in-charge of the Delhi civic polls, said, ""People associate with a political party for a reason. But now senior leaders like Lovely and Malik had no reason to continue with Congress.""
  

  

  BJP sources said Lovely was in talks with the party for the past few days. Several other senior Congress leaders are also in touch with BJP, they added."
"Jewar MLA elect scouting for cabinet ministry","http://timesofindia.indiatimes.com/elections/assembly-elections/uttar-pradesh/news/jewar-mla-elect-scouting-for-cabinet-ministry/articleshow/57619410.cms","NOIDA: BJP's Holi Milan saw a huge number of party supporters from across Gautam Budh Nagar coming together to celebrate the party's win over their rivals but one person was conspicuous by his presence at the function.
  

  

  Jewar MLA elect Thakur Dharmendra Singh,who had switched ranks from the Congress to the BJP on January 8 this year couldn't be seen at the function's venue till 8 pm. BJP MP Mahesh Sharma had organised the 'Holi Milan' function at his Kailash Hospital, Greater Noida.
  

  

  The function started around 6 pm with Sharma,MLA elect from Noida and son of Union Minister Rajnath Singh Pankaj Singh, Dadri MLA elect Tejpal Nagar and former Noida MLA Vimla Batham reaching the spot around 6 pm.
  

  

  While Pankaj left the spot around 7 pm, Sharma stayed back at the spot along with Nagar.
  

  

  However,Dhirendra Singh was conspicuous by his absence till 8 pm.Sources in the party told TOI that Singh had a meeting with Union home minister Rajnath Singh in the morning and he was returning from Delhi.
  

  

  However,when asked about the meeting and it's agenda, Dhirendra Singh said that it was merely a ""courtesy call"".
  Zeven MenS White Cricket Velcro Shoes ZFFW131M3ACShopcluesLet's understand the need for a term planMAX LIFE INSURANCERecommended By Colombia

  

  Sources however said that Singh has been scouting for a portfolio in the state government,possibly a cabinet ministry.
  

  

  When asked if the meeting was about seeking any portfolio,Singh said,""I am a worker who likes to work on the ground.It was just a courtesy call,"" he said. He admitted that he reached the venue for the Holi Milan function - Kailash Hospital,Greater Noida late and left around 9 pm.
  

  

  Dhirendra Singh's switch was a result of much deliberation and senior leaders had played a role in brokering the deal.
  

  

  BJP national president Amit Shah had also met the home minister,who is an old UP hand and a former chief minister of the state in the evening on Sunday. Rajnath,a former UP CM will play a crucial role in decision making post the electoral win in the politically significant state of Uttar Pradesh."
"People find faith in Congress again: Ajay Maken","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/people-find-faith-in-cong-again-maken/articleshow/58277555.cms","NEW DELHI: Buoyed by his party's performance in the Rajouri Garden bypolls, where it finished second but had a significantly higher vote share than 2015, DPCC president Ajay Maken feels the civic polls will be a fight between Congress and BJP.
  

  

  Maken believes Congress will have an edge, irrespective of the recent infighting in its ranks, and AAP would cease to be a factor. ""Congress will be the dark horse. Mark my words, people will vote for solutions. They are fed up with the everyday bickering between the Delhi and central governments. People know that Congress has the capacity to give solutions and work on them,"" Maken told TOI in an interview.
  

  

  The DPCC chief is upbeat about getting votes. ""We have brought together the best brains in Congress to come out and give global solutions to local problems of municipal governance. So, when we go to the people we tell them to vote for Congress as that's like voting for a set of solutions,"" he said.
  Burn Belly Fat In 7 Days (100% Results)SlimNowRoam abroad freely with unlimited incomingAirtelRecommended By Colombia

  

  So, what are these solutions? ""If we plug the leakages in the municipal revenue system, then the civic bodies don't need any financial assistance from the state or Centre to survive. For instance, municipal corporations have huge land banks that are currently encroached upon. These can be turned into critical income generating resources. Streamlining of primary healthcare and education is required to ensure maximum benefit for the poor. We will streamline finances to ensure there are no strikes for want of wages. We will clear pending arrears of Rs 1,563 crore due to sanitation workers,"" Maken said.
  

  

  The hike in its vote share, Congress feels, reflects its traditional voters—the poor and minorities—returning to its fold after abandoning it earlier for AAP. ""The poor people don't see AAP as a factor because of non-delivery of promises and over exaggeration of achievements. These two things have hurt the poor the most,"" he said.
  

  

  Maken also said the recent protests by A K Walia and Mangat Ram Singhal over ticket distribution would have no impact on Congress's performance. ""In- house factionalism and groupism is not new in Congress; it has always been there since Congress was created,"" Maken said.
  

  

  Without commenting on the Congress old guard in Delhi, Maken said he was ""trying to create a Congress with a new thinking"", and that he had been given a free hand by the party brass to work on the new strategies he has chalked out for the party. ""We want young people to be more and more involved in strategic planning and giving solutions,"" he said."
"BJP expels candidate for allowing sacked AAP minister to campaign for her","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/bjp-expels-candidate-for-allowing-sacked-aap-minister-to-campaign-for-her/articleshow/58277686.cms","NEW DELHI: BJP on Tuesday expelled its Narela candidate, Savita Khatri, for allegedly allowing sacked AAP minister Sandeep Kumar to campaign for her. While BJP has withdrawn her candidature, she is likely to contest on the party's symbol, as per the election process.
  

  United Bag Fast Trip Grey and Black Casual Backpack UBK344ShopcluesLose 30 kilos in 2 months without liposuctionFit-Indian BlogRecommended By Colombia

  Announcing the party's decision, Rajya Sabha MP Vinay Sahasrabuddhe said, ""Those who do not respect women and people and seek support of such person (Sandeep Kumar) have no place in our party.""
  

  

  BJP said it was brought to their notice that Khatri had allowed Kumar, who was sacked by AAP over objectionable CD featuring him, to campaign for her. The decision comes a day after AAP attacked BJP for using Kumar in its campaigns. Hitting out at BJP, AAP MLA Alka Lamba had said, ""BJP has been defaming AAP by taking Kumar's name in radio commercials. Now, they are using him in their campaign.""
  

  

  Despite repeated efforts, Khatri couldn't be reached for a comment.
  

  

  BJP members said the party decided to expel Khatri as doesn't want any negative publicity to impact its campaign. With this, the party has lost six candidates — five were rejected in the nomination stage. The party later decided to support five independent candidates."
"In a first, MCD poll booths to be 'tobacco-free' zones","http://timesofindia.indiatimes.com/elections/delhi-mcd/news/in-a-first-mcd-poll-booths-to-be-tobacco-free-zones/articleshow/58282498.cms","NEW DELHI: In a first in the country, the Delhi State Election Commission has declared all the 13,234 polling booths 'tobacco free' ahead of the MCD polls, to be held this Sunday.
  

  

  The move comes after Delhi government's Health Department approached the State Election Commissioner urging him to declare all the polling stations as 'tobacco free zones' rather than just declaring them as 'smoke-free' as it used to be in earlier elections.
  

  

  In a letter to Commissioner S K Srivastava, Additional Director (Health) Dr S K Arora noted that since chew-able tobacco, a leading cause of oral cancer, is already banned in Delhi, the polling booths should be declared 'tobacco free'.
  

  

  The decision should be taken in larger public health interest, he stressed.
  

  

  The Commission has now sought cooperation of the Commissioners of all three civic bodies — South, North and East municipal corporation — to create 'tobacco free' poll booths for the MCD polls and display multi-colour banners at each location indicating the same.
  

  

  ""It is an excellent opportunity to sensitise nearly 1.33 crore adults on a single day as they will come to cast their vote at the polling booths,"" Dr Arora said.
  

  

  He said 90 per cent of oral cancers, 40 per cent of all cancers and 30 per cent of tuberculosis cases occur because of tobacco habits.
  

  

  Also, 20 per cent cases of diabetes, hypertension, heart attack and brain stroke are also linked to tobacco consumption, he added.
  

  

  The Health department will also provide signages/banners to be displayed at the entry gate of each polling booth.
  Their baby cant even sit up due to his liver!MilaapEasy and delicious method to lose weight without dietsThe Fit Indian BlogRecommended By Colombia

  

  The banners will have content to educate people about the ill effects of tobacco consumption including smoking.
  

  

  The objective is also to make public aware that polling booths being a public place, the use and sale of all kinds of tobacco is prohibited, he said.
  

  

  Besides, teams of health departments will also supervise and monitor to ensure that there are no violations of the Cigarettes and other Tobacco Products Act (COTPA) 2003.
  

  

  In the 2014 Lok Sabha election, the Election Commission had asked the state election authorities to implement the no- smoke policy in accordance with the Cigarettes and Other Tobacco Products (Prohibition of Advertisement and Regulation of Trade and Commerce, Production, Supply and Distribution) Act, 2003."
