"","Headline","article","location"
"16","Amit Shah To Arvind Kejriwal: 'This is How We Won Delhi'"," HighlightsThe BJP won 181 of the total 272 wards across 3 municipal bodies
BJP chief Amit Shah said the win was the 'foundation' for next elections
The BJP won only 3 seats in the 2015 Delhi assembly election
                                Delhi's mandate for his party in the civic elections last week is the nation's mandate, BJP chief Amit Shah said on Tuesday, saying the massive win is another stamp of approval for Prime Minister Narendra Modi's work at the Centre. Mr Shah also wrote off the Aam Aadmi Party, which came a feeble second, mocking Delhi Chief Minister Arvind Kejriwal for blaming his party's drubbing on electronic voting machines or EVMs.

Delhi was won for the BJP by its booth-level workers, Mr Shah said at a celebration of his party's win with party workers and new corporators in the capital. The BJP has won 181 of 272 seats in three corporations. AAP could win only 48.

""Kejriwal-ji might blame EVMs for our victory, but to know the real reason, meet our booth in-charge,"" said Mr Shah, whose winning strategy in Delhi included sacking most sitting corporators to beat any anti-incumbency sentiment after 10 years of the BJP dominating the Municipal Corporation of Delhi or MCD.","new delhi:"
"19","Arvind Kejriwal Begins AAP Reconstruction, Bigger Role Likely For Kumar Vishwas"," HighlightsArvind Kejriwal pacifies Kumar Vishwas by removing MLA from key post
Mr Kejriwal to meet all 64 AAP legislators one on one, get feedback
Changes in AAP's national team expected, Mr Vishwas to get bigger role
                                A week after he was dealt a deadly blow in the Delhi civic elections, Chief Minister Arvind Kejriwal has begun reconstructive surgery of his Aam Aadmi Party, starting with an outreach to the over 60 legislators who had won the party a massive mandate in assembly elections in the national capital just two years ago. Up ahead, said sources, are major changes in the party's leadership structure that could see leaders like AAP's founder member Kumar Vishwas play a greater role.

Mr Kejriwal pacified an upset Mr Vishwas yesterday by removing from a key party post Amanatullah Khan, a Delhi legislator who had accused him of attempting to replace the party chief. Many AAP lawmakers from both Delhi and Punjab had backed Mr Vishwas against what they saw as an attempt to scuttle his chances at being elevated in the party; he is currently only responsible for overseas funding.

From today, Mr Kejriwal will meet each of his 64 Delhi legislators one on one and will gather feedback on the party's work at the ground level. He will also meet AAP's volunteers, seen as the young party's backbone in its dream surge to prominence, but who seem to have lost steam after successive defeats this year - first in the Punjab and Goa assembly elections and then the drubbing the Delhi civic polls.

Mr Kejriwal has been accused of losing touch with the grassroots in recent days as his ambitions to expand AAP nationally have grown and sources close to him said he is keen to refurbish his image of a transparent and accessible leader. They also said that he is being extremely cautious in determining new roles for leaders in AAP.

Kumar Vishwas had on Saturday rued that the AAP chief is now surrounded by ""yes men"" who misguided him into blaming what he alleged were rigged electronic voting machines or EVMs for his party's loss to the BJP in Delhi.

A meeting called by Mr Kejriwal of top AAP leaders later assessed that the election drubbing in fact indicates an urgent need for organisational restructuring. Top leaders like Sanjay Singh, Dilip Pandey and Durgesh Pathak resigned last week from key party posts owning responsibility for the Delhi defeat and Mr Kejriwal will first appoint a new Delhi AAP team. He has already named Delhi minister Gopal Rai to head it in Dilip Pandey's place.

Changes in the national team are expected next, said sources, and that is when Mr Vishwas is expected to be given a bigger role by Mr Kejriwal, though it is not known yet what that role will be.","new delhi:"
"21","No Credible Proof On EVM Tampering, Says Election Commission: Highlights","                             The Election Commission (EC) set the date for the challenge to show that voting machines or EVMs can be tampered with. The challenge begins from June 3. Last Friday, the top election body had held an all-party meet to discuss the upcoming 'EVM hackathon' after allegations that the voting machines were hacked in the recently-held assembly elections and the Delhi civic elections. Today, before a press conference, the Election Commission displayed the working of both an electronic voting machine or EVM and Voter Verified Paper Audit Trail or VVPAT.

Here are the highlights of the press conference by Chief Election Commissioner Dr. Nasim Zaidi:The Commission has conducted elections successfully for 107 state assembliesSome people have doubts about about the EVMs. We have even got suggestions. But the EC has not received any credible information about these.We held an 8-hour meeting with political parties.","new delhi:"
"23","MCD Election Results 2017: A Trademark PM Modi Tactic, Used To Win Delhi, Could Repeat In Gujarat"," HighlightsBJP fielded fresh faces in Delhi polls, dropped most sitting councillors
Party might replicate strategy in Gujarat assembly polls later this year
BJP performed extensively well in the UP elections last month
                                The BJP's standout strategy for the Delhi civic polls was the decision to drop almost all sitting councilors and field fresh faces. It did this to skirt an anti-incumbency sentiment amid allegations of corruption and non-performance in the three corporations, which it has dominated for years. The party's campaign stressed that it was bringing in fresh faces and fresh energy.

It worked. The BJP has won all three municipalities with a bigger margin than last time, and there is already talk about whether the party will look at replicating the strategy in the next big election it faces - the Gujarat assembly elections due at the end of this year. But, Bihar BJP leader Sushil Modi's tweet today notes, the strategy was originally applied in Gujarat by then Chief Minister Narendra Modi.

""Narendra bhai had once replaced all Councillers in Guj & won 2/3 seats in local elections. Same strategy worked in MCD,"" Bihar's Mr Modi tweeted. PM Modi, as Chief Minister of Gujarat for 13 years, had in fact made it a practice to not field many sitting legislators in the 2002, 2007 and 2012 assembly elections too. In 2012, the BJP had dropped 40 per cent of its legislators opting for new candidates. Each time it won big.

The BJP has been in power in Gujarat for more than 19 years and could need to fall back upon the Modi strategy more than ever in the face of a build-up of the anti-incumbency factor. The party has struggled with containing the massive Patel agitation for reservation in government jobs and colleges and had a scare in 2015 when the Congress made inroads in rural areas in local body elections.

The BJP's superlative performance in the Uttar Pradesh elections last month - it won more than 300 of the state's 403 seats - has energised the party cadre in Gujarat as has an early start to its election campaign with both PM Modi and party chief Amit Shah making frequent visits to the state.
","new delhi:"
"25","Ashok Gehlot Appointed Congress General Secretary In-Charge For Gujarat","                             The Congress party today appointed former Rajasthan Chief Minister Ashok Gehlot as its general secretary in-charge for Gujarat, ahead of assembly polls later this year.

Mr Gehlot replaced Gurudas Kamat, who has handled the party's affairs till now. Mr Kamat has had internal problems within the party in Maharashtra after the Congress' debacle in state civic polls.

The Congress has revamped the entire team in Gujarat by replacing the general secretary incharge and appointing four new secretaries.

""Congress President Sonia Gandhi has assigned the task of looking after Gujarat affairs to a new AICC team that includes general secretary incharge Ashok Gehlot and four new AICC secretaries,"" AICC general secretary Janardan Dwivedi said.

Among the new four All India Congress Committee (AICC) secretaries appointed for Gujarat affairs include former Youth Congress chief Rajeev Satav, Harshvardhan Sapkal, Varsha Gaikwad and Jeetu Patwari.

The Congress is working overtime to put its act together and put up a stiff fight to the BJP in Gujarat, the home state of Prime Minister Narendra Modi.

Assembly elections are due in November this year in Gujarat.","new delhi:"
"26","BJP Chief Amit Shah To Listen To 'Mann Ki Baat' With Slum Dwellers In Delhi","                             BJP chief Amit Shah will listen to Prime Minister Narendra Modi's 'Mann Ki Baat' radio address along with slum dwellers in R K Puram area in Delhi on Sunday.","new delhi:"
"32","Uttar Pradesh Election 2017: 250 Crorepatis In Fray For Phase 3","                             The third phase of the crucial seven-phase Uttar Pradesh assembly elections will take place on Sunday. Over 826 candidates from 105 political parties, including 6 national parties, 7 state parties, 92 unrecognised parties and 225 independent candidates are contesting for the 69 assembly seats of the 12 districts in the third phase.","new delhi:"
"46","Uttar Pradesh Elections 2017: Heavy Weights Battling It Out In Phase 3","                             The third phase of Uttar Pradesh's assembly elections sees a tight contest among Bharatiya Janata Party, Bahujan Samaj Party and the Samajwadi Party- Congress alliance for 69 seats in the state's legislature. All the three sides have fielded 69 candidates for the seats. In the alliance, the Congress alone fields only nine candidates, the other 60 are represented by the ruling Samajwadi Party. After the relatively calm two phases, this phase is also expected to be calm as voters queue up to make their choice.

Among the candidates, contesting this Sunday, there are no heavyweights fielded from Mayawati's BSP. But, both BJP and SP will witness the test of fate for some of its most promising leaders. Lucknow cantonment sees a fierce contest between newcomer Aparna Yadav, the 'chhoti bahu' (younger daughter-in-law) of Mulayam Singh Yadav playing the field against popular seasoned politician Rita Bahuguna Joshi from the BJP. Although, Ms Joshi has been in politics for nearly two decades, it is only few months ago that she made the switch from Congress into the BJP.

Also contesting is Samajwadi Party heavyweight, Shivpal Singh Yadav, Mulayam Singh's brother. Mr Shivpal has been in the eye of the storm for the last few months as the family feud of the Yadav clan came in the public eye. He is contesting from Jaswantnagar, the place where the Samajwadi patriarch Mulayam held his first rally for this election.

The seven-phase assembly election in Uttar Pradesh remains crucial as it is the state that sends most number of Rajya Sabha members to the parliament.

Here is a list of the heavyweights battling it out in the third phase of UP's election:
","new delhi:"
"51","Uttar Pradesh Election 2017: BJP Tops List Of Candidates With Criminal Cases In Phase 3","                             Sixty-nine Assembly seats of the 12 districts of Uttar Pradesh will vote in the third phase on February 19. The campaigning for the phase ends on Friday. More than 2.4 crore voters will vote for 826 candidates contesting the elections.

According to the Association for Democratic Reforms, approximately 31 per cent of the BJP candidates in Phase 3 have declared criminal cases against them. This is the most followed by the Samajwadi Party which has 22 per cent.

There are total of 826 candidates of which 813 have been analysed. 110 of the total 813 candidates, or approximately 14 per cent, contesting the third phase have criminal cases against them.

Here is a breakdown of candidates with criminal cases for the third phase of the Uttar Pradesh election 2017:
","new delhi:"
"54","Remove PM, Ministers' Photographs From Official Websites, Election Commission Tells Centre","                             The Election Commission has ordered the Centre to remove photographs of Prime Minister Narendra Modi and his ministers from government websites, insisting that all references to political leaders in official websites violated the model code of conduct.

Cabinet Secretary PK Sinha has also been told to explain why the central government hadn't removed references to the politicians from its websites so far.

The code of conduct had come into force from 4 January when the panel announced the schedule for elections to the five states, Punjab, Uttarakhand and Goa, Uttar Pradesh and Manipur. The polls are already over in Punjab, Uttarakhand and Goa and two of the seven phases in Uttar Pradesh have been completed. Manipur will go to polls in March.

The EC letter sent over the weekend recalled that the commission had specifically mandated ""removal of all references of ministers, politician or political parties available on central/state government's official website"" in January.

It realised that the Centre hadn't complied with its instruction when someone complained how the website of the Pradhan Mantri Awas Yojana - that was being implemented in Uttar Pradesh - gave the BJP an unfair advantage since it had PM Narendra Modi and Union Housing Minister M Venkaiah Naidu's pictures.

The panel told the government to not only fix this website but also ""ensure that websites of other ministries/departments"" do not contain such photographs.

A key objective of the code is to ensure a level playing field for all political parties contesting elections and cap the possibility of the ruling party using government resources to its advantage.

Years ago, this meant taking down - or covering - government hoardings with pictures of the ministers.

Ahead of the 2004 Lok Sabha General elections, the commission ordered the NDA government to mask pictures of then prime minister Atal Bihari Vajpayee on hoardings along the National Highways. Eight years later, the poll panel told the Mayawati government in Uttar Pradesh to drape the chief minister's statues, and of the elephants - that are her party, BSP's election symbol - at Ambedkar parks in Lucknow and Noida.

The same principle was later applied in cyber space, and the rule to remove all references to politicians from official websites introduced. In UP, many district officers have suspended their local websites rather than go through the trouble of scanning individual webpages.","new delhi:"
"65","Uttar Pradesh Election 2017: Voting Begins In 73 Constituencies","                             The first of seven phases in the Uttar Pradesh assembly elections, which is considered to set the tone for the 2019 Union elections, will take place today with over two crore people eligible to vote across 73 constituencies. A total of 839 candidates - including the key parties of BJP, Bahujan Samaj Party, Samajwadi Party-Congress alliance as well as the Rashtriya Lok Dal and independents - will contest the 73 seats, spread across 15 districts of western Uttar Pradesh.

With 26 contestants, Agra South will see the maximum number of candidates while Hastinapur will the least number of candidates - six.

According to the Association for Democratic Reforms, approximately 40 per cent of the BJP candidates in phase-1 have declared criminal cases against them, the most, followed by the BSP with a close 39 per cent. The SP-Congress alliance has 28 per cent candidates with criminal cases whereas the RLD has 33 per cent such candidates in the first phase.

Elaborate security arrangements have been made in all districts. Of the 887 polling centres in Muzaffarnagar, 600 have been instilled with video cameras. Around 6,000 paramilitary personnel are also being deployed in Muzaffarnagar and Shamli districts.

While the SP hopes to retain power - albeit with the Congress this time, the BJP and BSP hope to regain power in the state after 13 and five years, respectively.

The BJP won 71 of the 80 Lok Sabha seats in the 2014 Union elections, decimating the Congress, SP and BSP - which were reduced to five, two and zero seats in the Lok Sabha elections. The election in Uttar Pradesh - along with those in Punjab, Goa, Manipur and Uttarakhand - is considered to be a referendum on Mr Modi's demonetisation drive. In his campaigns across Uttar Pradesh, Mr Modi urged voters to root out 'SCAM' - an acronym for Samajwadi Party, Congress, Akhilesh Yadav and Mayawati.

Ms Mayawati is expected to be a five-time Chief Minister of Uttar Pradesh, should the BSP win. Her party was the worst sufferer in the state in the 2014 Union elections as it failed to register a single seat. This time, the party has fielded a record number of candidates belonging to the Muslim community, considered to be a key vote bank for the Samajwadi Party and the Congress.

The poll is also a crucial test for the new national president of Samajwadi Party, Akhilesh Yadav, who gained control of the party after a bitter feud with his father Mulayam Singh Yadav and uncle Shivpal Yadav. The Uttar Pradesh Chief Minister has forged an alliance with the Congress and lately, Rahul Gandhi and Mr Yadav have been jointly campaigning all over Uttar Pradesh. The Congress will contest 24 seats whereas the Samajwadi Party has given tickets to 51 contestants in the first-phase.

Among the 2.6 crore people eligible voters, around 1.4 crore are male, 1.2 crore are female whereas there are a little over 1,500 voters from the third gender.

(with inputs from Agencies)","new delhi:"
