"","Headline","article","location"
"35","It’s an EVM wave, not Narendra Modi wave: AAP","NEW DELHI: After an unexpected drubbing on its home turf, AAP on Wednesday blamed EVMs for the loss in civic polls which came close on the heels of its humiliating defeat in the Punjab and Goa assembly elections. The loss came despite AAP's promise to waive house tax on residential properties besides holding out a vision of a cleaner Delhi. Its promise to provide cheaper water and electricity, besides other factors, had led to a landslide victory in assembly elections just two years ago.
  

  

  ""BJP has done nothing but spread corruption, dengue and chikungunya in Delhi. There is no reason for people to vote for BJP again. It is unbelievable. If the margin of victory had been low, we could have accepted it. But the huge difference is not possible without rigging the elections,"" said deputy CM Manish Sisodia.
  

  

  Sisodia said BJP was earlier vocal against the vulnerability of EVMs but has now changed its stance. ""After losing elections in 2009, BJP did research on tampering of EVMs and they are winning elections on the basis of what they learnt in five years,"" he alleged. His cabinet colleague, Gopal Rai, was sharper in his comment. ""It's an EVM wave, not a Modi wave,"" he said.
  

  

  AAP functionary Ashutosh said: ""BJP looted the corporations for a decade and even then it is winning. Can anyone point out even a single achievement of BJP in the corporations. There are faults in the EVMs. Why are all EVMs voting for BJP?""
  

  

  In a tweet, however, chief minister Arvind Kejriwal congratulated BJP. ""I congratulate BJP on their victory in all 3 MCDs. My govt looks forward to working wid MCDs for the betterment of Delhi,"" he tweeted.
  

  Mens White Lace-up Cricket ShoesShopcluesWorld-class education awaits you @GLA Univ.GLA UniversityRecommended By Colombia

  Earlier, to introspect on the reasons for its defeat, AAP functionaries had gathered at CM Arvind Kejriwal's residence soon after after initial trends showed BJP heading for a landslide victory. The despondency deepened in AAP after initial rounds of results pushed it to the third position after Congress. However, after a struggle to gain ground, the party managed to climb up to the second spot with 48 of its candidates winning. Thirty eight of its candidates lost their security deposit.
  

  

  Sisodia, Rai, minister Kapil Mishra, MLA from Burari Sanjeev Jha, Chandni Chowk MLA Alka Lamba among others discussed the civic polls' outcome with Kejriwal at his residence. ""People who voted for AAP en bloc in Burari are calling me to express surprise. They are also surprised how our candidates lost despite entire colonies voting for them. The EVMs were tampered with,"" said Jha.
  

  Latest CommentHow  many times?  will you talk foolish?  LIKE RAJIB  of congress?chanchal majumdar

  The defeat in the civic polls has left AAP very vulnerable. After the election commission verdict on officer-of-profit comes in, there would be more attacks on Kejriwal's government. A day after polling, Delhi CM and party convener Arvind Kejriwal had threatened to launch an agitation if BJP sweeps the polls. No decision has been taken on what will be the shape of the agitation. ""Currently the civic poll results are being evaluated,"" Gopal Rai told TOI.
  

  

  Before the civic polls, Kejriwal had unsuccessfully tried to convince the poll panel to not use EVMs in the polls and instead go for paper ballots.","delhi-mcd"
"36","Narendra Modi wave did not help 5 backed by BJP","NEW DELHI: BJP's decision to support Independent candidates in five municipal wards didn't do any good for the party, with none of the five candidates winning despite its landslide victory.
  

  Earton WomenGirl Tan Sports Running ShoesShopcluesEnjoy the best of comedy with Biswa Mast Aadmi online!Amazon Prime VideoRecommended By Colombia

  Except in Vinod Nagar, BJP-supported candidates did not even get the second-highest votes. AAP won four wards and Congress got one.
  

  

  The party had decided to support these candidates after the nominations of its candidates were rejected by the state election commission. While the party alleged that the candidates were rejected on ""frivolous grounds"", it had little option but to support Independent candidates. BJP workers in the five wards had helped these candidates in their election campaign.
  

  

  In Abul Fazal Enclave, a Muslim-dominated area, BJP had supported Gulfam who got just 870 votes, while AAP candidate Abdul Wajid Khan got 10,374 votes. Similarly, in Bapraula and Lado Sarai, AAP candidates won by a margin of more than 2,000 votes. Only in east Delhi's Vinod Nagar, the BJP-supported candidate, Rahul Singh, lost by just 151 votes. BJP members said that Singh, who filed his nomination on an NCP ticket and later accepted support from BJP, was a strong contender. BJP members said that the party would have won the seat if its candidate's nomination was not rejected.
  

  

  In north Delhi's Kishan Ganj ward, Congress' Usha Sharma defeated AAP candidate by 1,197 votes. Twinkle, the BJP-supported candidate, got just 5,926 votes. It was mainly AAP that benefited from absence of BJP candidates in these wards.","delhi-mcd"
"37","People rejected Arvind Kejriwal’s threats, politics, says Manoj Tiwari","NEW DELHI: BJP credited its landslide victory in the municipal elections to the 'Modi wave' on Wednesday. But while doing that, it also launched a scathing attack on chief minister Arvind Kejriwal and AAP.
  

  

  Delhi BJP chief Manoj Tiwari took a dig at the vanquished. ""A party which won 67 assembly seats just two years ago couldn't win even 67 wards.""
  

  

  Tiwari said Delhiites voted for Prime Minister Narendra Modi's policies and development agenda while rejecting AAP's ""politics of negativity"". He also credited the leadership of BJP president Amit Shah and the hard work of party cadre for the spectacular victory.
  

  

  However, celebrations at Delhi BJP headquarters were low key in the wake of the Naxal attack at Sukma in which 25 CRPF men died. There were no drums, no sweets and no loud music; instead, a few BJP workers blew conches while welcoming Tiwari to the party office. Tiwari dedicated the victory to the martyrs and their families.
  

  Get the flexible Cloud service, startups loveIBMCheck fair market value of any used vehicleDroomRecommended By Colombia

  Slamming the CM for ""threatening"" the people of Delhi during AAP's election campaign, Tiwari said, ""The CM is supposed to work for the welfare of people. CM ko dilli ki galiyon mein eent se eent sajana chahiye, par woh eent se eent bajane ki baat karte hai. For the first time we saw a CM threatening and cursing people that they will contract dengue and chikungunya. He threatened that electricity and water tariff will increase. But people rejected his politics.""
  

  

  Tiwari also reminded Kejriwal of the 'right to recall', an idea first pushed by AAP.
  

  

  BJP also attacked the AAP government for not respecting the people's verdict of 2012 and 2014. ""After their victory in 2015, they felt that the mandate given by people in 2012 and 2014 is not good. The CM didn't even have a collective meeting with all seven MPs. This is a renewal of the mandate given to us by the people,"" said Vinay Sahasrabuddhe, Rajya Sabha MP who was the election in-charge for the municipal polls.
  

  

  Union urban development minister Venkaiah Naidu also congratulated the party cadre for the win. BJP also said it would ensure that the three corporations get the financial assistance due to them.","delhi-mcd"
"38","MCD Results 2017: Highest vote margin 9,866, lowest 58","NEW DELHI: A BJP candidate in a south Delhi ward trounced his AAP rival by a whopping 9,866 votes, the highest winning margin in municipal corporation elections, the results for which were declared on Wednesday.
  

  

  The BJP amassed an impressive tally in all three corporations in the capital, roundly defeating its two rivals, AAP and the Congress.
  

  

  The results for a few wards are still to be declared, but the BJP has already won over 170 of seats out of 270, leaving AAP far behind with 40 and the Congress with 20 seats.
  

  

  The highest margin was recorded in Dwarka-B by BJP candidate Kamaljeet Sehrawat, who defeated Sushma Bansal of AAP.
  

  

  The lowest poll margin was in east Delhi's Bhajanpura ward, where BJP's Gurjeet Kaur defeated Congress's Rekha Rani by a mere 58 votes.
  Earton WomenGirl Blue Sneakers Casual ShoesShopcluesPlay India's hottest card game and win real cashJunglee RummyRecommended By Colombia

  

  Senior Congress leader Varyam Kaur, who was the leader of the Opposition in the EDMC House, lost to her BJP rival by a huge margin of 9,115 votes.
  

  

  In the Krishna Nagar ward in east Delhi, BJP's Sandeep Kapoor dealt a massive blow to his immediate rival, who lost by 9,322 votes.
  Latest CommentTo put out a stop to this evm bhashanbaaji why not people in groups come out and say openly they voted for BJP only. At least in one ward they may do it.Ramaswami Narayan

  

  In the Daryaganj ward, former mayor Farhad Suri's niece, Yasmin Kidwai of the Congress, won by a narrow margin of 59 votes.
  

  

  In a few wards such as Sadar Bazaar and Shastri Nagar, vote margins were in three digits.","delhi-mcd"
"39","EVMs not sole reason for loss, says Kumar Vishwas","NEW DELHI: The rumblings in AAP grew louder on Friday with senior functionary Kumar Vishwas saying electronic voting machines (EVMs) ""should not be blamed solely"" for the party's debacle in the municipal polls in Delhi. ""We lost because people did not vote for us,"" he said.
  

  

  ""This is our sixth defeat because we were disconnected with volunteers,"" Vishwas said while apologising to the party volunteers for going against their wishes. He also cautioned the party against taking decisions behind closed doors, which volunteers could not defend on the ground.
  

  

  ""There was a big gap in AAP's communication due to which the party was unable to convey what the Delhi government did for the people. Another reason could be that people were angry with us on some issues,"" he said. ""BJP was able to communicate its message to the people and we were a unable to counter that.""
  

  

  Admitting that ""there are short-comings"" in EVMs, Vishwas said this issue could be taken up at appropriate forums such as the election commission and the court. But AAP, he said, needs to think what was the aim of the fight that started from Jantar Mantar. ""Corruption, Congress, Modi or EVM...the short-comings in EVMs is one part of it."" The party's top brass has lost the connect with grassroots workers and the party needs an overhaul, said Vishwas, who has been with AAP since its inception in 2012.
  

  

  Vishwas's remarks are significant considering that chief minister and AAP's national convener Arvind Kejriwal had been blaming ""faulty"" EVMs since the party's disappointing performance in the assembly elections in Goa and Punjab. He had even threatened to launch an agitation over alleged manipulation of EVMs.
  

  Boost online traffic & hit business targets.COLOMBIAHome Is Where Your Story Begins. Insure Both!Bajaj Allianz Home InsuranceRecommended By Colombia

  A few days before the corporation polls, Vishwas had created another stir by uploading a video on Twitter that criticised the AAP government and Kejriwal without naming them.
  

  

  On Friday, Vishwas said the problem in Punjab started with the ticket distribution. ""People from Congress and Akali Dal were given tickets.""
  

  Latest Commentidiots , just shudown aap ppermanantlyVikas

  AAP, he said, was also not right in attacking the Prime Minister on the issue of surgical strikes. It acted in haste while taking a stand on demonetisation, he added.
  

  

  Refusing to comment on the V K Shunglu committee report that slams the Delhi government over several decisions, he said the party needed to ensure transparency.","delhi-mcd"
"40","MCD Results: AAP leaders lacking in action, says Anna Hazare","NEW DELHI: Even as the Aam Aadmi Party (AAP) was
  headed for a crushing defeat+
  in the Delhi civic polls on Wednesday, anti-corruption crusader Anna Hazare castigated his protege Arvind Kejriwal for lacking in action.
  

  

  Weeks after he criticised the AAP leader and Delhi chief minister for ""dashing his hopes"" over
  alleged nepotism and financial irregularities+
  , ANI quoted Hazare as saying on Wednesday, ""Kathni aur karni mein antar pad gaya hai (There is a world of difference between what they preach and what they practise)"", while referring to the AAP leaders.
  

  

  By the time this report was filed, the (results) break-up was as follows for the BJP, AAP and the Congress: North Delhi: 66, 21 and 13; South Delhi: 70, 17 and 11; East Delhi: 49, 9 and 3.
  

  

  

  
  

  

  'Kejriwal violated law''
  

  

  On April 7, the social activist had said the Delhi chief minister had violated laws and the Constitution, and declared he would never support what the AAP leader has done.
  

  

  ""He (Kejriwal) has dashed all my hopes,"" PTI had quoted Hazare as saying, while reacting to
  the Shunglu committee report+
  which indicted the Kejriwal's government for bypassing law, nepotism and financial irregularities.
  

  

  ""I am pained by the Shunglu committee report because Arvind was with me in the fight against corruption. I had great hopes from the young and educated Kejriwal and felt that young people like him will create a corruption-free nation,"" Hazare said in a statement issued at his village Ralegan Siddhi in Ahmednagar district.
  

  

  ""But he has dashed all my hopes,"" Hazare said, adding he was pained to read about the allegations against Kejriwal in the Shunglu Committee report.
  

  

  ""He was my colleague in the fight against corruption. Then, I felt the educated, new generation could help rid the country of graft. But it was a big dream and it lies shattered,"" Hazare said.
  Earton MenBoys Black Sports Running ShoesShopcluesWorld-class education awaits you @GLA Univ.GLA UniversityRecommended By Colombia

  

  ""When Kejriwal launched the Aam Aadmi Party, it was the Lord who gave me wisdom to keep away (from him) or even my reputation would be ruined,"" Hazare said.
  

  

  ""Even after he became the chief minister, I never felt a desire to meet him. Now, I understand why he always used to address me as his 'Guru'. The Lord has saved me,"" the 79-year-old said.
  

  

  Kejriwal has forgotten all principles in the pursuit of power, Hazare said.
  

  

  
    Read this story in Gujarati","delhi-mcd"
"41","BJP’s plan: Cleaning mess, mosquitoes","NEW DELHI: After its unexpectedly massive victory in the municipal polls, BJP says that its main focus in the first few months will be on sanitation and public health. In the three municipal corporations, the party plans a slew of measures to prevent the outbreak of diseases and to streamline the city's solid-waste management system.
  

  

  A day after the triumph, Delhi BJP chief Manoj Tiwari said, ""Our main aim is to make Delhi a clean and healthy city. To achieve this, we will start work on making Delhi garbage-free. We will also pay attention to preventing dengue and chikungunya outbreaks.""
  

  

  However, the biggest challenge for the ruling party in the corporations would be to innovate their way out of the financial morass that the civic bodies constantly are trapped in. Tiwari said that the corporations will ask the state government to immediately release the ""pending amount of Rs 6,200 crore"". ""Delhi CM tweeted that he would work with corporations for the betterment of Delhi,"" pointed out Tiwari. ""If he calls a meeting, we can tell him about the problems the corporations are facing.
  

  ROYAL JAPAN 2017 LED Hand Portable LampShopcluesPlan for life's bouncers in advance!MAX LIFE INSURANCERecommended By Colombia

  Tiwari will hold meetings with the 181 councillors as well as the BJP members of the outgoing corporations and senior party leaders to prepare a plan for streamlining the functioning of the three municipal bodies. BJP will also organise a two-day training session for the freshly elected councillors, all of whom are new to the post, on how the municipal bodies function.
  

  

  Rajya Sabha MP Vinay Sahasrabuddhe, who is also the head of the party's national good governance cell, said that the training programme would aim at equipping the newly elected members of the corporations with information about both municipal issues and the party ideology. ""We will educate them about the Municipal Act, the rules and regulations of the House, their functioning, etc,"" said Sahasrabuddhe.
  

  

  Senior party members added that the outgoing councillors, especially those who held important positions in the corporations in the past decade, will be roped in to aid or mentor the new councillors. ""There are several issues that need to be addressed or taken up with the Delhi government. It is important that the new corporators are acquainted with these topics, especially those related to funding such as the Fourth Delhi Finance Commission's recommendation,"" said Virendra Sachdeva, member of BJP's good governance cell.
  

  

  As for instructing the new councillors on the party and its ideology, Sahasrabuddhe said, ""We have a structured learning process in which we tell them about the party's ideology, enhance their awareness about subjects like the environment and help them evolve skills that could help them in day-to-day work as councillors.""","delhi-mcd"
"42","Sangam Vihar captures voter dilemma on choice","NEW DELHI: Congestion, crowds and lack of infrastructure uniformly mark the unauthorised colony of Sangam Vihar in south Delhi. But there is nothing uniform about the choices it made in the civic elections.
  

  

  BJP candidate Deepak Jain won in Sangam Vihar E, defeating the AAP candidate by a mere 812 votes. In Sangam Vihar C, on the other hand, AAP won, defeating the BJP candidate by a margin of 6468 votes. Interestingly, in Sangam Vihar A, people chose an independent over AAP and BJP. He won by a margin of 519 votes over the BJP candidate. This captures the dilemma of the Delhi voter even in areas with similar profiles. So, while AAP won in the illegal colony of Tigri, it was rejected by people in Jaitpur where BJP emerged victorious.
  

  

  And going by voting trends, BJP has won in areas where AAP and Congress were hoping to gain the confidence of voters. There was 55% voting in rural and backward areas.
  

  सिर्फ 2 हफ्ते में खत्म हो रही डायबिटीजGlyxGoEarton MenBoy Blue Running Sports ShoesShopcluesRecommended By Colombia

  In Sarita Vihar's middle and upper middle class areas, people voted back sitting councillor Neetu of Congress. In the middle class colony of Malviya Nagar, the BJP candidate defeated AAP with Vasant Kunj also choosing BJP but the runner-up here was Congress. However, not too far from Malviya Nagar, in the urban village of Chirag Dilli, a mixed population voted AAP to power, with BJP ending in the second place. In RK Puram and GK, BJP won, pushing AAP to the second place.
  

  

  While the middle class of Kalkaji ward voted for BJP, rejecting sitting Congress councilor Virender Kasana, in Govindpuri they chose Congress over BJP. Govindpuri slums were the last location where CM Arvind Kejriwal held his roadshow before the closing of campaign.
  

  

  Congress won three seats out of 64 in the east. These were from areas which have a mix of unauthorised colonies and slums, where AAP was expected to win. Mustafabad ward had a Congress councillor, Parveen, who defeated AAP's candidate, Shakila Begum, with a margin of over 4,000 votes. Congress candidate Rinku defeated BJP candidate Bharat Lal with a margin of 1,300 votes in Nand Nagri ward. While east has a majority of unauthorised and resettlement colonies, AAP secured 11 seats while 47 seats went to BJP and two to BSP.
  

  

  Similarly, in north corporation area, Burari that has many unauthorised colonies voted for BJP candidate Anil Kumar Tyagi, defeating AAP candidate Asit Kumar by a margin of 2,800 votes. Bawana too chose BJP candidate Braham Prakash over AAP and Congress candidates by a margin of almost 3,000 votes.","delhi-mcd"
"44","BJP scores hat-trick in Delhi civic polls, severe blow to AAP and Congress","NEW DELHI: The BJP on Wednesday
  scored a hat-trick+
  in the Delhi civic polls as it comfortably retained control of the three municipal corporations, dealing a
  severe blow to the AAP+
  and dashing the Congress' hope of a revival.
  

  

  Winning 181 out of 270 wards where elections were held, the saffron party added muscle to its decade-long domination of the corporations effortlessly bucking anti-incumbency by riding on the popularity of Prime Minister Narendra Modi.
  

  

  The BJP's corporation-wise tally is: SDMC - 70, NDMC - 64 and EDMC - 47 as against AAP's tally of 16, 21 and 11 respectively. Congress finished last with 12, 15 and 3 wards.
  

  

  The BJP had won 138 wards in the last election.
  

  

  

  

  
  

  

  

  Modi expressed his gratitude+
  to the people of Delhi for reposing faith in the BJP and ensuring its resounding victory in the polls.
  

  

  
  ""I laud the hardwork of team @BJP4Delhi which made the resounding MCD win possible,"" he tweeted.
  

  

  In his first reaction, Delhi chief minister Arvind Kejriwal promised all cooperation to the civic bodies and refrained from commenting on EVMs, the alleged ""manipulation"" of which has been identified by him as the reason behind AAP's string of poll upsets.
  

  

  ""I congratulate BJP on their victory in all 3 MCDs. My govt looks forward to working wid MCDs for the betterment of Delhi (sic),"" Kejriwal, who went into a huddle with top leaders of the AAP as the results trickled in early in the day, tweeted.
  Save up to 70% on car insurance renewalET INSUREFix diabetes in 7 days with 1 odd trick!GlyxgoRecommended By Colombia

  

  
  The victory is especially sweet for the BJP as it comes two years after it suffered a shock defeat in the Delhi assembly polls where a near-absolute majority had catapulted the AAP to the national stage.
  

  

  For the AAP, the rout comes after successive jolts in Punjab and Goa assembly polls and the Rajouri Garden assembly bypoll here and has led to murmurs of discontent in the party becoming louder.
  Top CommentThe writing is on the wall now its going to be a herculean task for the opposition in the 2019 elections, its going to be modi modi and yogi yogi all the way. Rajeev Chawla

  

  The opposition called it a ""referendum"" on the Kejriwal government and demanded that the CM resign.
  

  

  The Congress, which was hoping to bounce back in Delhi by putting up a creditable show, has been resigned to political wilderness. Ajay Maken, who has steered the party's local unit over the last two years, has resigned as the Delhi Pradesh Congress chief.","delhi-mcd"
"45","MCD Results 2017: BJP rides on Modi wave, AAP's political bubble bursts, say experts","NEW DELHI: While the Bharatiya Janata Party's landslide victory in the Delhi municipal polls can be credited to a ""Modi wave"", the Aam Aadmi Party's debacle signals the bursting of a political bubble, experts said on Wednesday.
  

  

  The director of the Centre for the Study of Developing Societies (CSDS), Sanjay Kumar, believed that AAP's defeat would ""reduce its chances of survival"" as a political party.
  

  

  ""If you see AAP's report card in terms of state governance, the score isn't really bad. But the Modi wave helped the BJP garner more votes and register a historic win,"" he told PTI.
  

  

  ""Parties contest elections all the time; they win and they lose as well, it should not be too worrisome for them. But AAP's case is different,"" he said, referring to the fact that the party was formed barely four years ago on the strength of popular support.
  

  

  Kumar also said that since the poll results could not be seen as a ""referendum of AAP's work in governance at the state level"", the party needed to look into the reasons for defeat instead of blaming electronic voting machines (EVMs) for it.
  

  

  ""AAP must accept its defeat and go to the people to understand the reasons,"" he said.
  

  

  Kumar said the Delhi MCD elections were important for the three main political parties in the fray for different reasons.
  

  

  For the BJP, a victory would mark its return to the national capital. For the AAP, more seats would have ensured its political survival, while for the Congress, it would have meant a revival, he said.
  

  

  Kumar Rajesh, Fellow at Delhi University's Developing Countries Research Centre (DCRC), described AAP's slide as ""steep"" but predictable.
  

  

  ""While they entered Delhi's political scene with a bang the slide for AAP has been steep,"" he said.
  Earton MenBoys Grey Sports Running ShoesShopcluesEnrol in best placement university in UP–GLAGLA UniversityRecommended By Colombia

  

  He added that the DCRC had conducted a survey in all the 272 wards of the MCD, interviewing nearly 40000 people for their views.
  

  

  ""The burst of the political bubble was predictable,"" he said. ""We can't deny that the BJP somehow managed to convince the voters that the party had been working for them,"" he added.
  

  

  The initial results show that the BJP has won 103 seats declared so far, while the AAP and Congress have bagged 26 and 8 seats respectively.
  

  

  The setback for AAP comes after its defeat in the Goa and Punjab assembly elections in March.","delhi-mcd"
"46","A Purabia who dons many hats and leaves his mark","NEW DELHIi: As he applauded his party's landslide in the Delhi municipal polls, BJP chief Amit Shah specifically mentioned Manoj Tiwari, the Bhojpuri singer-actor and member of Lok Sabha from Delhi northwest constituency.
  

  

  Shah must be feeling vindicated since it was he who, defying resistance and misgivings, picked Tiwari to lead the Delhi unit when it was reeling from the humiliation of 2015.
  

  

  Tiwari did not let Shah down. Though the first Bihari to head a unit dominated by Punjabis and Vaishyas and, on top of that, a late entrant to BJP, Tiwari plunged into the job with great gusto, coming up with populist moves like spending nights in slums as part of his effort to connect with a constituency which had powered AAP's rise.
  

  

  He was easily the most sought-after campaigner, addressing 243 meetings.
  

  

  He composed and gave his voice to the party's theme song ""Bhajpa dil mein, dil mein, bhajpa Dilli mein"" for the MCD polls. For someone who contested and lost the 2009 Lok Sabha elections on a Samajwadi Party ticket from Gorakhpur against UP CM Yogi Adityanath, Tiwari has indeed come a long way and his confidence showed through in the presser he held after the result.
  

  

  He made no bones about his identity of being a 'Purabia', a Bihari to be precise, as he chose to address the media in Bhojpuri, a clear indication that he wants to build upon the gains he has made among a burgeoning constituency which has established itself as an important factor in city politics.
  

  Fix diabetes in 7 days with 1 odd trick!GlyxgoLucky bamboo seeds for planting indoor bonsai plant seedsShopcluesRecommended By Colombia

  ""We have only seen negative politics in Delhi that attained a new low in the last two and a half years. Our first priority was to develop an atmosphere of positivity and we are grateful to the people of Delhi for responding to our call,"" Tiwari said.
  

  

  Being an acclaimed Bhojpuri singer with several hits like ""Jiya ho Bihar ke Lala"", ""Assiye se BA kaike, babua hamaar"" and also a popular actor in dozens of Bhojpuri films, Tiwari was chosen by the party top brass, a decision laced with the possibility of resentment among local leaders.
  

  

  Originally a resident of Atarwali village in Kaimur district of Bihar, Tiwari was one of the most sought after campaigners in the 2014 Lok Sabha polls and also the recent assembly polls in UP and Uttarakhand thanks to his popularity as a singer and actor and also as a mature speaker.
  

  

  He had won the Lok Sabha polls just after joining the BJP and passing the baton to him had created much heartburn. However, Tiwari has successfully silenced his critics by the good show.","delhi-mcd"
"47","AAP nursery stands by party","NEW DELHI: Barely five feet tall, 31-year-old Vimlesh Koli is invisible at the centre of a joyous, raucous procession of AAP workers. ""Jhaduwale chha gaye"", they shout into the narrow lanes of Sunder Nagri in northeast Delhi. Her victory in the municipal election is some solace for the Aam Aadmi Party, which has been trounced by BJP in all three municipal corporations.
  

  

  Sunder Nagri is part of AAP's origin myth. This is where Arvind Kejriwal began his NGO Parivartan, did his high-visibility social audits and campaigns. Vimlesh Koli and her crew have been part of that movement, and stayed loyal to Kejriwal for two decades now. Born and raised in these slums, she has campaigned for ration cards, against water privatisation, for the inclusion of EWS children in private schools, against the 2013 gang rape that shook Delhi. Her comrades are equally fervent. ""AAP is my junoon (obsession)"", says 60-year-old Habisun Nisha, who also takes part in the procession. ""This is where Kejriwal and Anna Hazare began their fasts,"" she says.
  

  

  An AAP volunteer displays the results of Ward Sunder Nagri 33E, to show the party's emphatic victory over BJP, Congress and AIMIM. Its disappointing show elsewhere in the city doesn't dampen their joy.
  

  

  Gaurav Garg (25), son of former BJP councillor Kamlesh Garg who runs a big cloth shop, reels off his mother's achievements. Sunder Nagri has a significant Muslim population, of 55-60%, but she had goodwill here, he says. ""The main road has been made pucca, there's end-to-end closed drainage. Around 25 parks have been named, Hanuman Vatika, Abdul Kalam Vatika, Valmiki Vatika and so on. A couple of schools have been made into proper buildings. Three months ago, a ward office was set up for better coordination of services.""
  

  

  Nearly everyone here complains about how dirty the place is. ""Cleanliness depends on the public,"" says Garg. Even if the sanitation worker comes here, by mid-morning it is dirty, because people throw their peels and packets on the street. ""People here are largely illiterate,"" he says. Now that the seat is reserved for SCs and for a woman candidate, ""prabuddha log"" (enlightened people) could not emerge here, he claims.
  

  

  Meanwhile, the slums are still squalid, and many residents have their grouses against AAP. ""They worked best in that first 49-day government. They have slacked off since,"" says Pooran Singh. He is unemployed, though he wanted to be an engineer. He is not particularly inclined towards any party and despises politicians, but is willing to be proved wrong.
  

  

  ""We're not happy at all with AAP. She (Koli) might turn out okay, but the CM has just taken us for a ride,"" says Santoshi (who doesn't use a last name). She waves an electricity bill that she claims is double of what it used to be. Water has always been free here, that's no credit to AAP, she says. What she would like to see is a BJP government along the lines of Yogi Adityanath's in UP.
  

  

  Sunder Nagri is struggling for basic amenities, but identity issues are clearly simmering. Some, who favour BJP, even blame AAP for municipal matters, it had no control over, pointing to the open drains and the clouds of flies. ""We need development,"" says a local. Phool Singh (24) says that AAP should have installed the CCTV cameras it promised since women here often face harassment.
  

  

  Much of AAP's big talk about mohalla clinics and swanky schools has not materialised here. While schools have slowly improved over the years, nearly everyone complains about the public health centre and the nearby GTB hospital.
  

  Buy Buwch Formal Black Shoes at ShopcluesShopcluesWondering if you need term insurance?MAX LIFE INSURANCERecommended By Colombia

  Saligram, 70, is a BJP voter, but he's happy the AAP has won because he's started getting a pension of Rs 2,000. Municipal elections are about local issues, about the candidate's own appeal, community and all that. It's not about the party, like a Vidhan Sabha election is, he says.
  

  

  Even his defenders say that AAP's promises haven't panned out . ""Uske pair jame nahin hain. He (Kejriwal) will work when he is fully settled, but BJP doesn't let him work,"" says Zamruddin Ansari, a wage labourer who says he has been in dire straits since the demonetisation decision. Others, like 50-year-old Mohammed Shabir, applaud him for having the ""jigra"" (courage) to speak truth to Modi.
  

  Latest CommentHe will never learnBalachandran Nair V

  Meanwhile in adjoining New Seemapuri, AAP's winning candidate Mohini, was a longtime Congress face. People voted for her, not AAP, they say. ""These colonies were settled by Indira Gandhi after the 71 war,"" says a Congress worker. It can still be wrested back, if the party chooses the right candidate who cares about the constituency, he claimed.
  

  

  In other words, there is a committed core of AAP loyalists in Sunder Nagri and surrounding areas. But there is also a clear, hot current that favours BJP, even in the slums, and the non-BJP vote will go wherever it is likely to matter most. Young Vimlesh Koli has a lot riding on her shoulders.","delhi-mcd"
"100","RWAs protest after ward transfer on election eve","NEW DELHI: The campaigns are over and the municipal polls are just a day away. However, the alleged transfer of a whole locality from one ward to another has sent poll plans of thousands of residents in a locality of Ashok Vihar in a tizzy.
  

  

  An order issued by returning officer Devendara Singh Tomar on April 21 says that the areas are being transferred due to complaints and some errors in electoral rolls. The order has been issued way after the deadline for filing objections, March 07.
  

  United Bag Travelon Spacious Small Travel Bag  - Large GreenShopcluesHow you can calculate your life insurance?TomorrowMakersRecommended By Colombia

  ""Though these complaints have been received after the expiry of last date of filing objections, keeping in view the gravity of these complaints and its after affects...in exercise of power conferred to me by section 7F of Delhi Municipal Corporation Act make the correction in electoral rolls of Ashok Nagar ward and Wazirpur ward,"" reads the order, followed by the list of changes. The RO in his order attributes the mistakes to a clerical error in preparation of electoral rolls.
  

  

  Dinesh Gupta, general secretary of G-Block RWA in Ashok Vihar said: ""Once the campaigning has stopped, how can they bifurcate our block and transfer 90% of it to another ward?"" Gupta said he is approaching the Election Commission as well courts to stop the ""illegal act"". ""It no longer remains a free and fair elections if we can't make an informed choice,"" Gupta added.
  

  

  The local candidates from BJP and Congress blamed each for the last minute change. Sudhir Kumar Jain, Congress candidate from Wazirpur said, ""There are 1800 voters there but we did not get an opportunity to campaign. Money has been paid by the BJP candidate."" Yogesh Verma, the BJP candidate from Ashok Vihar termed it as a conspiracy. ""How can this happen after notification, after the campaigning is over?"" he said. Ashok Basoya, the complainant and Congress candidate for Ashok Vihar said that his complaint was based on difference between delimitation report and electoral rolls.
  

  

  The returning officer Tomar said that he was busy with election preparations and the action is perfectly legal. ""No areas have been transferred, just a mistake in electoral rolls has been rectified,"" he said.","delhi-mcd"
"101","Congress on a strong wicket: Ajay Maken","NEW DELHI: DPCC president Ajay Maken said that the party workers would conduct a door-to-door campaign on Saturday.
  

  

  ""The Congress party will focus on booth-level campaigning besides the door-to-door visit by party workers on Saturday. We will cover 13,000 booths. A total of 39 top leaders, including Gulam Nabi Azad, Meira Kumar, Anand Sharma, Oscar Fernandes, Ashok Gehlot, Salman Khurshid, Shashi Tharoor and Raj Babbar had campaigned for our candidates,"" said Maken.
  

  Top Comment& Daful Dandy will become PM of India in 2019Neha Agarwal

  He said that Congress had released six manifestos in three parts on different issues, which offer solutions to the various problems plaguing the corporations. ""If Congress comes to power in the corporations, it will tackle local issues at global standards. Delhi will be made free of disease and corruption,"" Maken said.
  

  

  He added that Congress was on a strong wicket as after the Rajouri Garden assembly by-election, the vote share of the party had gone up from 9% to 33%. He claimed the civic elections would witness Congress' resurgence.","delhi-mcd"
