"","Headline","article","location"
"29","In Congress Stronghold, Amit Shah Sets 150-Seat Target For BJP In Gujarat"," HighlightsTarget is to win 150 of Gujarat's 182 seats: BJP chief Amit Shah
Amit Shah covered 3 booths in a door to door campaign in Devaliya village
The tribal vote matters in 27 of the state's constituencies
                                Workers of the BJP will fan out in 48,000 booths to reach the maximum number of people before assembly elections Gujarat, as the party seeks to retain the state for the sixth time. ","chota udepur, gujarat:"
"30","ï»¿link",NA,"article"
"31","UP Elections 2017: Not Religion Or Caste, Bareilly Votes For Jobs","                             Ravi Singh Rawat expected to land a white-collar job once he graduated. But the student of economics who spoke fluent English, found jobs were not easy to come by. After three years of futile search, the 24-year-old ended up working in a small motorcycle repair shop in Bareilly's Civil Lines.

""""I was one of the brightest in my class but there are no jobs... I don't like doing this, but I have a family to feed. I had to do something,"" he said, staring at his grease-stained hands and dirty work clothes.

That is the story of many in Uttar Pradesh's Bareilly, the state's seventh-largest city which votes on Wednesday. In 2015, when the Akhilesh Yadav government advertised for 368 peons, it received nearly 23 lakh applications. Every tenth was from a graduate or a post-graduate, and more than 200 aspirants were research scholars.

Tackling unemployment among the educated young men and women has been a challenge that successive governments in state capital Lucknow - including the Samajwadi Party government -- have been unable to face up to.

It is a point the leaders of the BJP - which hadn't been in power in the state for more than 20 years -- have rubbed in over the last few weeks of campaign. In Bareilly, the party is competing with the ruling Samajwadi Party and its ally Congress for the same votebank. BJP candidate Arun Kumar had won the seat in 2012 and hopes to repeat his performance -- his party hopes to benefit from the divided votes.

But the ban on high-value currency notes in November to flush out black money - a move the BJP claims has huge support from the people -- appears to have created some difficulties in small towns like Bareilly. It has further shrunk employment opportunities in a state that is now estimated to have over one crore unemployed people in the 15 to 35 year age group.

Many flourishing businesses in Bareilly - once known for its furniture and woven cots - are on the verge of a collapse. ""I haven't been able to source raw-material, can't pay my labourers,"" said Abdul Rafeek, whose family has been making cots for four generations.

A young furniture labour, Amit Sharma too blames demonetisation for the decline in his income. ""We have lost 70% of our business due to the notes ban. There was a time when I didn't have money to buy milk for the house,"" he says.

A daily wager at a transport company, Raje agrees. ""My earnings of Rs 300 have been reduced to Rs 150 all because of demonetisation... There is no work! Where do we go?"" he says. ""This election is neither on religion, nor on caste. We shall vote only for employment,"" he says.","bareilly:"
"33","UP Elections 2017: BJP Bets On Man Who Ended Its Winning Streak In Allahabad","                             An industrialist-turned-party-hopping politician has been fielded by BJP in Allahabad South assembly segment with the hope that the man who had ended its winning streak in the constituency a decade ago as a BSP man, might now wrest the seat from SP.

On February 23, when voters of the constituency will exercise their franchise, 43-year-old Nand Gopal Gupta ""Nandi"" shall be looking forward to avenging the defeat of 2012 at the hands of sitting Samajwadi Party MLA Haji Parvez, to whom he had lost by a slender margin of less than 400 votes.

While Mr Gupta is the BJP candidate this time, the BSP - which expelled him three years ago - has fielded Mashooq Khan as part of a strategy to give a substantial number of tickets to those belonging to minority community.

 The Congress, which Mr Gupta had joined upon his expulsion from BSP and quit only last month, will end up supporting Mr Parvez owing to its alliance with the Samajwadi Party.

Mr Gupta's electoral debut in 2007 had caused the BJP to lose its grip over the assembly segment which it had never lost since 1989.

'Nandi' had defeated, by a margin of more than 14,000 votes, Keshri Nath Tripathi who was a five-time MLA, and had served thrice as the Uttar Pradesh assembly Speaker and was the BJP's state unit president at that time.

Emerging as the proverbial dark horse in an electoral contest that was being viewed as a ""clash of titans"", 'Nandi' had humbled Tripathi and relegated Rita Bahuguna Joshi, then the Congress woman's wing president and its future state unit chief, to the position of a distant third.

Interestingly, Mr Joshi, too, is contesting the current elections on a BJP ticket, from the Lucknow Cantt seat.

The BJP could not recover from the upset it suffered in 2007 as Tripathi finished third in the electoral contest five years later.

He has now moved out of the state on a gubernatorial assignment.","allahabad:"
"34","Band, Baaja, Ballot: Lucknow Bride Delays Bidaai To Vote In State Polls"," HighlightsLucknow bride's 'bidaai' ceremony was set for Sunday
Sunday was also the third phase of polling for UP Assembly elections
Her in-laws agreed to delay the ceremony so the bride could vote
                                Every vote counts. In every election â€“ state or general. And this bindaas bride from Lucknow knows it.

Manisha Kashyap, who got married on Saturday, February 18 in Lucknow, decided to delay her bidaai ceremony so she could vote in the February 19 polls instead.

The bidaai ceremony traditionally marks the end of a Hindu wedding ceremony and is when a bride officially â€˜leavesâ€™ her home and family behind.

Assembly elections are currently being held in Manishaâ€™s home state of Uttar Pradesh and Sunday marked the third phase of polling. Elections across the state are being conducted in seven phases. The votes will finally be counted on March 11.
","lucknow, uttar pradesh:"
"35","UP Election 2017: Former PM Atal Bihari Vajpayee Unlikely To Cast His Vote","                             As with the 2007 and 2011 assembly elections in Uttar Pradesh, voter number 141 of Lucknow Central constituency is unlikely to vote in the third phase of the 2017 election, scheduled for Sunday. The voter is India's former Prime Minister and BJP co-founder Atal Bihari Vajpayee, who has represented the city of Nawabs five times in the Lok Sabha from 1991 to 2009. Union Home Minister Rajnath Singh is the incumbent parliamentarian from Lucknow.

Mr Vajpayee, 92, has been suffering from age-related ailments and has not been seen in public for years.

""The last time Atal Bihar Vajpayee voted was in the 2004 Lok Sabha elections, which was also the last election he ever contested. Thereafter, he could not vote in the assembly elections of 2007, 2012 as well as the Lok Sabha elections of 2009 and 2014,"" said Shiv Kumar, a close aide of the ailing leader, to news agency Press Trust of India.

He added that this time too, the former Prime Minister ""would be unable to cast his vote in the ongoing polls"".

BJP state spokesperson Rakesh Tripathi, commenting on Mr Vajpayee, said, ""Though Atalji would not be able to cast his vote for the party candidate, his blessings are always with us. With this, we would surge ahead in the electoral battlefield.""

Atal Bihar Vajpayee is a former three-time Prime Minister of India. His first term lasted for 13 days in 1996. His second term lasted from 1998 to 1999 whereas his third term came between 1999 and 2004. The BJP patriarch is the first non-Congress leader to complete a full-term as Prime Minister. Mr Vajpayee also holds the distinction of being the first Indian leader to deliver a speech in Hindi at the UN General Assembly. He was conferred the Bharat Ratna in 2014 by President Pranab Mukherjee, who broke protocol to present him with the award at his residence.

(with inputs from PTI)","lucknow:"
"36","UP Election 2017: BSP Chief Mayawati Casts Her Vote In Lucknow, Confident Of Victory","                             Bahujan Samaj Party chief Mayawati today cast her vote in the third phase of the Uttar Pradesh assembly election, held in 69 constituencies across 12 districts. The former Chief Minister cast her vote in poll booth number 251 in Lucknow. She also addressed the media after casting her vote and urged voters of the 12 districts to cast their ballots in large numbers.

""Firstly, I would like to urge each and every voter in the third phase to come out and cast their ballot in their respective polling booths,"" she said.

Ms Mayawati further stated that she was confident of the Bahujan Samaj Party's victory in the Uttar Pradesh election.

""Two phases of the election have already been held and on that basis, I can confidently say that BSP will secure the maximum seats in the third phase.We will emerge as the single largest party with at least 300 seats,"" the Rajya Sabha member said.

Ms Mayawati also took a potshot at her rivals - the Samajwadi Party-Congress alliance and Prime Minister Narendra Modi's BJP.

""We don't build castles in the air like the Samajwadi Party, Congress or the BJP,"" she jibed.

""People are turning out in large numbers at my rallies. They are sick of the Samajwadi Party's goondaraj and jungleraaj. Uttar Pradesh wants an environment of peace. Even the BJP has failed to fulfill even a fourth of their Lok Sabha promises,"" she added. ","lucknow:"
"37","We Were Promised DDLJ Shah Rukh, Got Sholay's Gabbar Singh: Rahul Gandhi's Dig At PM Modi","                             Congress vice president Rahul Gandhi addressed a rally in his mother Sonia Gandhi's parliamentary constituency of Raebareli, ahead of the third phase of the crucial Uttar Pradesh assembly elections. Priyanka Gandhi Vadra also shared the dais to extend support to her brother and Congress workers. Ms Vadra's entry in the campaign came after Union Minister Smriti Irani said that the Congress' star campaigner was trying to avoid ""people's questions"" about the ""unfulfilled promises"" of the Congress.

The Congress has forged an alliance with the ruling Samajwadi Party in the state and much of the credit for this alliance was accorded to Ms Vadra. While Ms Vadra has refused to play a pro-active role in politics, she has campaigned for her mother and brother in their respective parliamentary constituencies - Raebareli and Amethi - in the past. ","raebareli:"
"38","UP Elections 2017: Campaigning Ends Today For Phase 4 Polling","                             Campaigning for the fourth phase of Uttar Pradesh Assembly polls, covering 53 constituencies in 12 districts, including Bundelkhand, will come to a close today.

AICC President Sonia Gandhi's Raebareli Lok Sabha constituency will be covered in this phase, polling for which will be held on February 23.

The other districts going to polls in the fourth phase are Pratapgarh, Kaushambi, Allahabad, Jalaun, Jhansi, Lalitpur, Mahoba, Banda, Hamirpur, Chitrakoot and Fatehpur.

680 candidates will be vying for the seats in this phase. While the maximum number of 26 candidates are in Allahabad North, only six candidates are in fray in Khaga (Fatehpur), Manjhanpur (Kaushambi) and Kunda (Pratapgarh) constituencies.

In 2012 polls, out of the 53 seats in this phase, SP won 24, BJP 5, BSP 15, Congress 6 and others 3.

Prominent among those contesting are sitting MLA Aradhana Mishra from Rampur Khas (Pratapgarh), the daugther of Congress MP Pramod Tiwari, and Independent MLA and minister Raghuraj Pratap Singh alias Raja Bhaiya, who is again contesting from his traditional Kunda (Pratapgarh) seat.

In Mrs Gandhi's constituency Raebareli, Aditi Singh is contesting on Congress ticket, BSP turncoat Swami Prasad Maurya's son Utkarsh Maurya is in fray from Unchahar seat, while Leader of opposition Gaya Charan Dinkar is contesting from Naraini (Banda) seat.

Senior SP leader Reoti Raman Singh's son Ujjwal Raman Singh is in the race from Karchana (Allahabad) seat.

Uttar Pradesh is voting in seven phases. The voter turnout in the third phase was 62 per cent, which was lesser than the second phase, which recorded 65.5 per cent voter turnout. Counting will take place on March 11.","lucknow:"
"39","UP Elections 2017: BSP Coming To Power With Full Majority, Says Mayawati","                             BSP chief Mayawati expressed satisfaction over the polling trend in the second phase of the Uttar Pradesh Assembly polls today, saying it indicated that her party was surging towards getting a majority.

""Just like the first phase, the second phase of polling in 67 seats which took place today is a good indication that BSP is coming to power in UP with full majority,"" she said in a statement.

Congratulating her party workers and leaders besides the people of the state, Ms Mayawati said there were reports that polling in the remaining five phases of the crucial state polls will be equally encouraging for her party.

""Although leaders of parties like BJP and SP-Congress alliance are making tall claims of support coming their way, people only have faith on 'tried and tested' BSP leadership as they know she (Mayawati) believes in saying and doing the same thing and will fulfil the promise on ending 'Jungleraj' and bringing rule of law after coming to power,"" she added.

Nearly 60 per cent voting was recorded till 4 PM in the second phase polling in 67 Assembly constituencies across 11 districts of western Uttar Pradesh today.

(Except for the headline, this story has not been edited by NDTV staff and is published from a syndicated feed.)","lucknow:"
"40","UP Elections 2017: Yadav Takeover Of State Police? Not At All, Say Yadavs","                             Law and order in Uttar Pradesh has been one of the main targets of the BJP in this assembly election in the state. Even Prime Minister Narendra Modi has spoken of what his party alleges is the Yadav takeover of the state police. He had also spoken of discrimination, which he called the biggest problem of the state. Three days ago, at a rally in Barabanki, PM Modi said, ""Akhilesh-ji has turned police stations into Samajwadi Party offices. If you go to a police station, you will find the inspector and you will find 5-6 goondas"".

At the high-profile Saifai police station in the Yadav stronghold Etawah, Gopal Singh Yadav -- the latest in a two-decade list of Yadav in-charges, with just a few exceptions -- refuses to discuss the merit of his 2-month-old posting.

But six men sitting on the porch of the police station, sipping tea, say they are more than willing to discuss the merits of the Prime Minister's allegation. The men, who came to the police station to pay a courtesy call, are from the adjoining Zafarpur gram panchayat. Three of them are Samajwadi Party leaders and all are Yadavs. ","etawah:"
"41","Manipur Elections 2017: Irom Sharmila, Okram Ibobi Singh File Nominations","                             Activist Irom Sharmila and Manipur chief minister Okram Ibobi Singh, who is seeking a fourth term, today filed their nominations for Thoubal Assembly seat in the upcoming assembly elections.

Mr Ibobi Singh will fight on a Congress ticket. The chief minister said with conviction the Congress party would return with a ""thumping"" majority and would form the government for the fourth consecutive term. ","imphal:"
"42","Manipur Election 2017: Poor Representation Of Women In Candidate Lists Of Political Parties","                             Though women voters outnumber men in the electoral rolls in Manipur, only a small number of them have featured in the candidate lists of political parties in the upcoming state Assembly elections in Imphal.

The total number of voters in the state is around 19 lakh and the number of women voters is much higher than that of men.Women play an important role in Manipuri society but the number of women candidates put up by the political parties is far less when compared to that of men, sources from Election Commission said.

The ruling Congress and the BJP which are the main contenders in the upcoming polls have fielded only two candidates each. The TMC which came out with a list 24 candidates also has two women candidates.

Human rights activist Irom Sharmila's Peoples' Resurgence and Justice Alliance (PRJA), contesting from three seats has fielded two women, including Sharmila herself.

The National People's Party (NPP) has fielded only one woman candidate out of their 21 total number of candidates.

A senior Congress leader of Manipur state Congress unit said, ""Actually we had only received applications from four women candidates. Only two were given tickets based on their ability to win the seats. And secondly, in Manipur, women are not very much interested in politics.""

Keeping aside their ideological and political differences, the views of Congress were echoed by BJP state unit on this issue.

""We had given tickets based on the winning ability of candidates. And women are not very much interested in politics,"" a senior state BJP leader said.

But PRJA and TMC had different views on why a small number of women found place in candidate list.

""Out of three candidates that we had fielded two are women. This shows our commitment towards women empowerment. But the candidate list of big parties like BJP and Congress show that they are not at all interested in women politics. Shame on them,"" Erendro Leichonbam of PRJA said.

The TMC on the other hand blamed politics of violence and intimidation as the main reason behind the party not fielding women candidates.

""We wanted to field more women candidates. But we couldn't as there is a reign of terror and women are afraid to come out,"" TMC's leader in-charge of Manipur elections Samrat Tapadar told PTI.

In the outgoing state assembly, there are only three women MLAs and one of them is a minister in the state ministry.

Polling for the 60 seat Manipur Assembly will take place in two phases on March 4 and March 8 and the results will be declared on March 11.","imphal:"
"43","UP Elections 2017: BJP Gained 'Decisive Lead' In First Phase, Says Kalraj Mishra","                             Senior BJP leader Kalraj Mishra today claimed his party has gained a ""decisive lead"" in the first of the seven-phased Uttar Pradesh","allahabad:"
"44","UP Election 2017: Voting For Phase-III Begins In 69 Constituencies","                             The third phase of assembly polls","lucknow:"
"45","UP Elections 2017: End Dynastic, Caste-Based Politics, Says Amit Shah","                             The ongoing Assembly election in Uttar Pradesh is to end dynastic and caste-based politics, BJP chief Amit Shah said today in Amethi, the pocket borough of the Nehru-Gandhi family.

Targeting Congress Vice-President Rahul Gandhi and Chief Minister Akhilesh Yadav, he said that the Congress and the Samajwadi Party have entered into an ""unholy alliance"".

""Two families have entered into an unholy alliance. Initially, people were affected by one shahzada (prince), now it is two. One shahzada is giving pain to his mother, the other to his father,"" he said, attacking Rahul Gandhi and Akhilesh Yadav, who had a bitter feud with his father Mulayam Singh Yadav over the control over SP.

 He asked the voters to shun dynastic and caste-based politics, noting that everything in the state veered around one family.

""What has this family given you? There are problems for farmers while law and order machinery in the state has collapsed. There is acute shortage of water and medicines. What has this state government done for you?"" he asked.

""For the past 50 years, only one family is running the affairs of Amethi. Even then, this place is languishing behind other districts in terms of development,"" he said.","amethi:"
"47","62 Per Cent Voting Recorded Till 5 PM In UP Election Phase-3: Highlights"," 62% voter turnout in the third phase till 5 pm

5.20 pm IST:","uttar pradesh assembly elections drive into the third phase today. over 826 candidates from 105 political parties are contesting for 69 seats. they come from six national parties, seven state parties, 92 unrecognised parties and 225 independent candidates are contesting for the 69 assembly seats of the 12 districts in the third phase. the key parties to watch out for in this election are the bjp, the ruling samajwadi party, bahujan samaj party and the congress. over 250 crorepati candidates are in the fray for the third phase. key candidates in this phase include samajwadi party's aparna yadav, shivpal singh yadav and bjp's rita bahuguna joshi.

this phase also sees about 110 candidates with criminal cases. bjp and bsp have the most number of candidates with criminal cases. they are closely followed by the samajwadi party.

uttar pradesh assembly elections are being conducted in seven phases. the votes will be counted on march 11.

here are the highlights for the uttar pradesh election 2017:

6.05 pm ist:"
